method,episode,seed,obstacle_speed,lateral_offset,intervention_time,scheduled_update_time,gamma_initial,gamma_final,gamma_updates_applied,success,reached_goal,collision,steps,minimum_true_clearance,final_goal_distance,mean_solve_time,max_solve_time
distance_baseline,0,1000,0.14618896487121016,0.058235453738403546,0.38463455365443566,,0.15,0.15,0,False,False,True,17,-0.014463769840212332,0.05995308791733458,0.005391550839275998,0.006375015014782548
distance_baseline,1,1001,0.10941909691007462,-0.05847604506036417,0.07637682190378517,,0.15,0.15,0,False,False,True,17,-0.0008692686780153447,0.05995308733650152,0.0053328354842960835,0.005797573016025126
distance_baseline,2,1002,0.17713450541584053,-0.05980667280558888,0.16617534789448687,,0.15,0.15,0,False,False,True,15,-0.0021921094087219983,0.08856068100699409,0.005292621542078753,0.005686908029019833
distance_baseline,3,1003,0.09815707473076526,-0.061369089630931226,0.16212431182771425,,0.15,0.15,0,False,False,True,18,-0.004240470116179618,0.05047236705530618,0.005520998791325837,0.008886357070878148
distance_baseline,4,1004,0.03092813763982462,0.06354912977551576,0.05887715771750588,,0.15,0.15,0,True,True,False,18,0.04363840740340555,0.04606604857261169,0.005411611928138882,0.0065160340163856745
distance_baseline,5,1005,0.05197697688281719,-0.057151818847025325,0.2522203223123571,,0.15,0.15,0,True,True,False,18,0.019729611083904697,0.04614283160980018,0.005469785052506874,0.007974925101734698
distance_baseline,6,1006,0.18965137424168002,-0.05866622280642538,0.12648386076344767,,0.15,0.15,0,False,False,True,15,-0.00952602552225168,0.0885606811601144,0.005310665078771611,0.005782088031992316
distance_baseline,7,1007,0.18466245928903605,0.06437693385571452,0.002327466595092753,,0.15,0.15,0,False,False,True,16,-0.014998115067077503,0.07415365800530259,0.005404706935223658,0.005806484958156943
distance_baseline,8,1008,0.05657704458764095,-0.05718523134266773,0.012657935300639835,,0.15,0.15,0,True,True,False,18,0.020671223221489732,0.04955948361386973,0.005541700552890284,0.008259512949734926
distance_baseline,9,1009,0.11143095972531994,0.058152655333137196,0.24221103366106267,,0.15,0.15,0,False,False,True,18,-0.0055150890228637395,0.05023731299089477,0.005537462938163016,0.008578927023336291
distance_baseline,10,1010,0.07665027492080383,-0.05710981902741519,0.05639984181638069,,0.15,0.15,0,True,True,False,18,0.005700889598050124,0.04837000825473508,0.005477643345430907,0.00793025700841099
distance_baseline,11,1011,0.09205856149231134,0.06428101417859333,0.10673507195839016,,0.15,0.15,0,True,True,False,18,0.006751852274898634,0.04759311163769219,0.005466737564549678,0.007989245001226664
distance_baseline,12,1012,0.027584591448016862,0.060250284298717816,0.3664792804458743,,0.15,0.15,0,True,True,False,18,0.04450682584821841,0.04606604899625473,0.005529731615549988,0.007979910937137902
distance_baseline,13,1013,0.19243206176407707,0.06036141471573632,0.24574900474651012,,0.15,0.15,0,False,False,True,15,-0.003472759412590065,0.08856068131323475,0.005331713085373242,0.005820433027110994
